chebi_id	children_count	depth[,]
CHEBI:4819	0	9, 10
CHEBI:46520	0	7, 8, 9, 10, 11, 12, 13, 14
CHEBI:41582	0	10, 11, 12, 13, 14
CHEBI:41589	0	8, 10
CHEBI:43809	0	7, 8, 9, 10, 11, 12
CHEBI:46508	0	10, 11, 12, 13, 14
CHEBI:41584	0	10, 11, 12, 13
CHEBI:41583	0	7, 8, 9, 10, 11, 12, 13, 14
CHEBI:46503	0	17, 16, 19, 18, 21, 20, 10, 11, 12, 13, 14, 15
CHEBI:46502	0	6, 7, 8, 10
CHEBI:608828	0	5, 10, 11
CHEBI:46501	0	7, 8, 9, 10, 11
CHEBI:46506	0	8, 9, 10, 11, 12, 13
CHEBI:46505	0	9, 10, 11
CHEBI:4806	0	8, 10, 11, 13
CHEBI:4808	0	11, 13
CHEBI:41593	0	9, 10, 11, 12, 13, 14
CHEBI:41590	0	9, 10, 11, 12, 14
CHEBI:41550	0	7, 8, 9, 10, 11, 12
CHEBI:41561	0	11, 12, 13, 14
CHEBI:41568	0	8, 9, 10, 11
CHEBI:59702	1	6, 8, 9, 10
CHEBI:59703	0	6, 9, 10, 11
CHEBI:59700	4	7, 8, 9
CHEBI:59701	1	5, 8, 9, 10
CHEBI:59706	0	9, 10, 11
CHEBI:59707	0	9, 10, 11
CHEBI:59704	0	7, 9, 10, 11
CHEBI:41539	0	17, 16, 11, 12, 13, 14, 15
CHEBI:59705	0	5
CHEBI:41534	0	8, 9, 10
CHEBI:59709	0	10, 11
CHEBI:41531	0	8, 9, 10, 11, 13
CHEBI:4850	0	8, 9, 10, 11
CHEBI:4858	0	9, 10, 11, 12, 13
CHEBI:4856	2	8, 9, 10, 11
CHEBI:4857	0	9, 10
CHEBI:59710	0	10, 11
CHEBI:41545	0	8, 9, 10, 11, 12, 13, 14
CHEBI:41546	0	9, 10, 11, 12, 13, 14
CHEBI:41541	0	10, 11, 12, 13, 14
CHEBI:4846	0	17, 16, 9, 10, 12, 13, 14, 15
CHEBI:41511	0	9, 10, 11, 12, 13
CHEBI:41512	0	9, 10, 11, 12, 13, 14, 15
CHEBI:724125	0	9, 10, 12
CHEBI:41527	0	9, 10, 11
CHEBI:41525	0	7, 8, 9, 10, 11, 12, 13, 14
CHEBI:4820	0	12, 13
CHEBI:4821	0	12, 13
CHEBI:4822	0	12, 13
CHEBI:4828	0	9, 11, 12, 13, 14, 15
CHEBI:4829	0	8, 9, 10, 11
CHEBI:4823	0	12, 13
CHEBI:2624	0	11, 12
CHEBI:2623	0	8, 9, 10, 11
CHEBI:2625	0	9, 10
